NAME,GEO_ID,COMM,COMM_LABEL,YEAR,VAL,TON,state,cfs area (or part)
1,'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2012', '0', '0', '01', '14200000'
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0742', 'Fixed vegetable fats and oils and their fractions, not chemically modified', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0743-R', 'Chemically modified fats and oils, prepared edible fats, and animal or vegetable waxes (excludes oils and fats treated for use as biodiesel) (CFS12)', '2012', '328', '297', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '075', 'Sugars confectionery, solid or syrups (excludes added flavoring or coloring)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '075', 'Sugars confectionery, solid or syrups (excludes added flavoring or coloring)', '2017', '43', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0750', 'Sugar confectionery in solid form, sugar syrups (excludes added flavorings or colorings, and cocoa and cocoa preparations)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0750', 'Sugar confectionery in solid form, sugar syrups (excludes added flavorings or colorings, and cocoa and cocoa preparations)', '2017', '43', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '077', 'Edible preparations, not elsewhere classified, and vinegar', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '077', 'Edible preparations, not elsewhere classified, and vinegar', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0771', 'Tomato and other sauces, mixed condiments and seasonings, prepared mustard, and mustard', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0771', 'Tomato and other sauces, mixed condiments and seasonings, prepared mustard, and mustard', '2017', '37', '18', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0772', 'Soups and broths and their preparations and baby or dietetic food', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0773', 'Syrups and concentrates, and flavoring powders, extracts, or essences', '2012', '24', '14', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0779', 'Processed eggs, yeasts, baking powder, sugar syrups with added flavors, and other edible preparations, not elsewhere classified', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0779', 'Processed eggs, yeasts, baking powder, sugar syrups with added flavors, and other edible preparations, not elsewhere classified', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '078', 'Nonalcoholic beverages, not elsewhere classified, and ice', '2012', '3248', '1724', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '078', 'Nonalcoholic beverages, not elsewhere classified, and ice', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0781', 'Carbonated, sweetened or flavored water', '2012', '798', '1409', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0781', 'Carbonated, sweetened or flavored water', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0789', 'Ice, and other nonalcoholic beverages, not elsewhere classified ', '2012', '2450', '314', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0789', 'Ice, and other nonalcoholic beverages, not elsewhere classified ', '2017', '3', '3', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '081', 'Malt beer', '2017', '211', '0', '01', '14200000']
