City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Itarema,BR,2022-01-30 18:23:14,-2.9248,-39.9167,77.05,86,100,10.18,overcast clouds
220,San Patricio,US,2022-01-30 18:23:14,28.017,-97.5169,71.69,48,0,11.45,clear sky
221,Hasaki,JP,2022-01-30 18:23:15,35.7333,140.8333,32.4,49,96,13.98,overcast clouds
222,Kununurra,AU,2022-01-30 18:23:16,-15.7667,128.7333,80.58,78,100,10.36,overcast clouds
223,Kaitangata,NZ,2022-01-30 18:23:16,-46.2817,169.8464,53.55,96,50,2.42,scattered clouds
224,Westport,US,2022-01-30 18:23:17,41.1415,-73.3579,26.8,43,0,1.99,clear sky
225,Antofagasta,CL,2022-01-30 18:22:25,-23.65,-70.4,70.21,64,19,10.56,few clouds
226,Umm Kaddadah,SD,2022-01-30 18:23:18,13.6017,26.6876,64.0,13,1,12.37,clear sky
227,Bobo Dioulasso,BF,2022-01-30 18:23:19,11.1771,-4.2979,88.25,9,33,10.36,scattered clouds
228,Birjand,IR,2022-01-30 18:23:20,32.8663,59.2211,32.47,23,0,6.91,clear sky
229,Telimele,GN,2022-01-30 18:23:20,10.9167,-13.3333,95.67,12,53,3.18,broken clouds
230,Cap Malheureux,MU,2022-01-30 18:23:21,-19.9842,57.6142,81.09,74,40,1.01,scattered clouds
231,Waingapu,ID,2022-01-30 18:23:22,-9.6567,120.2641,79.61,78,100,11.03,overcast clouds
232,Victoria,HK,2022-01-30 18:19:58,22.2855,114.1577,59.32,75,52,1.01,broken clouds
233,Pierre,US,2022-01-30 18:23:23,44.3683,-100.351,32.92,59,0,10.36,clear sky
234,Roald,NO,2022-01-30 18:23:24,62.5833,6.1333,33.33,93,75,3.44,broken clouds
235,Shenjiamen,CN,2022-01-30 18:23:25,29.9576,122.298,40.95,67,23,14.52,few clouds
236,Syracuse,IT,2022-01-30 18:23:25,37.0881,15.2792,54.99,61,0,2.13,clear sky
237,San Juan De La Maguana,DO,2022-01-30 18:23:26,18.8059,-71.2299,83.07,39,6,3.49,clear sky
238,Mashhad,IR,2022-01-30 18:23:27,36.297,59.6062,37.54,75,0,4.61,clear sky
